id,date,latitude,longitude,magnitude
20325,2010-11-05,12.736,123.054,5.8
20326,2010-11-07,24.383,141.588,5.6
20327,2010-11-10,-45.464,96.394,6.5
20328,2010-11-10,14.923,119.868,5.5
20329,2010-11-10,5.946,-82.571,5.7
20330,2010-11-11,-6.276,154.740,5.6
20331,2010-11-12,-6.553,130.035,5.5
20332,2010-11-12,-35.958,-102.210,5.8
20333,2010-11-14,11.984,43.963,5.5
20334,2010-11-14,11.865,43.716,5.5
20335,2010-11-16,-1.990,139.017,5.9
20336,2010-11-16,-3.005,68.125,5.5
20337,2010-11-17,-7.797,129.446,5.9
20338,2010-11-19,1.181,100.119,5.7
20339,2010-11-21,-54.967,-131.479,6
20340,2010-11-21,23.827,121.658,5.6
20341,2010-11-22,-33.625,-178.918,5.9
20342,2010-11-23,-5.959,148.966,6.1
20343,2010-11-26,28.063,52.564,5.5
20344,2010-11-26,-3.369,131.014,5.8
20345,2010-11-27,10.293,-43.128,5.7
20346,2010-11-27,3.862,128.071,5.7
20347,2010-11-30,28.349,139.187,6.8
20348,2010-11-30,52.215,-169.506,5.5
20349,2010-11-30,48.922,154.918,5.7
20350,2010-12-01,2.689,99.041,5.6
20351,2010-12-01,-15.888,-178.956,6.1
20352,2010-12-02,-6.001,149.977,6.6
20353,2010-12-05,-36.231,-100.826,5.9
20354,2010-12-06,40.904,142.967,5.7
20355,2010-12-07,-57.932,-7.474,5.9
20356,2010-12-07,-58.019,-7.503,5.7
20357,2010-12-07,54.356,169.128,5.8
20358,2010-12-08,-56.412,-25.741,6.3
20359,2010-12-08,7.481,126.505,5.9
20360,2010-12-08,39.358,72.860,5.5
20361,2010-12-08,-6.686,129.898,5.5
20362,2010-12-10,23.863,-45.733,5.5
20363,2010-12-11,-21.811,-179.353,5.6
20364,2010-12-12,-28.098,-177.106,5.6
20365,2010-12-13,-6.534,155.647,6.2
20366,2010-12-13,-6.259,104.008,5.7
20367,2010-12-15,-7.268,128.786,6
20368,2010-12-17,-6.480,129.996,5.5
20369,2010-12-18,10.409,126.156,5.6
20370,2010-12-18,-14.131,-173.306,5.9
20371,2010-12-20,10.171,-103.977,5.9
20372,2010-12-20,12.995,-88.640,5.7
20373,2010-12-20,28.412,59.180,6.7
20374,2010-12-21,-8.700,111.197,5.6
20375,2010-12-21,2.715,95.893,5.8
20376,2010-12-21,26.901,143.698,7.4
20377,2010-12-21,27.080,143.215,5.5
20378,2010-12-21,27.081,143.308,5.5
20379,2010-12-21,27.096,143.236,5.6
20380,2010-12-22,26.669,143.535,5.6
20381,2010-12-22,26.810,143.595,6.4
20382,2010-12-23,53.127,171.161,6.4
20383,2010-12-23,-19.908,168.596,5.6
20384,2010-12-23,-7.999,119.951,5.5
20385,2010-12-24,-63.592,-167.354,5.9
20386,2010-12-25,-19.702,167.947,7.3
20387,2010-12-25,-19.307,168.002,5.5
20388,2010-12-25,51.115,-176.162,5.6
20389,2010-12-26,-19.616,168.284,6
20390,2010-12-26,-19.636,168.261,5.5
20391,2010-12-27,-50.811,139.375,5.6
20392,2010-12-27,-19.311,167.960,5.5
20393,2010-12-28,-23.407,-179.802,6.3
20394,2010-12-29,-19.661,168.140,6.4
20395,2010-12-29,-19.701,168.123,5.5
20396,2010-12-30,51.626,177.378,5.5
20397,2010-12-30,-10.819,165.376,5.6
20398,2010-12-31,0.663,-26.045,5.5
20399,2011-01-01,-26.803,-63.136,7
20400,2011-01-02,-4.458,101.428,5.7
20401,2011-01-02,-38.355,-73.326,7.2
20402,2011-01-03,-59.791,149.897,5.6
20403,2011-01-05,31.545,142.177,5.6
20404,2011-01-05,-22.260,171.631,6.1
20405,2011-01-07,20.114,-45.617,5.5
20406,2011-01-07,4.243,90.414,5.5
20407,2011-01-08,-0.026,124.913,5.6
20408,2011-01-09,-19.155,168.312,6.5
20409,2011-01-09,-19.336,168.435,5.7
20410,2011-01-09,-19.296,168.407,5.5
20411,2011-01-09,-19.201,168.155,6.1
20412,2011-01-09,-19.297,168.009,5.5
20413,2011-01-10,-19.553,-176.032,5.6
20414,2011-01-10,-35.594,-73.064,5.9
20415,2011-01-10,23.083,143.166,5.6
20416,2011-01-11,-13.265,167.208,5.5
20417,2011-01-12,26.973,139.882,6.4
20418,2011-01-13,-36.920,179.460,5.5
20419,2011-01-13,-20.628,168.471,7
20420,2011-01-13,-20.606,168.399,5.9
20421,2011-01-15,-14.589,167.285,5.8
20422,2011-01-15,2.491,96.280,5.7
20423,2011-01-15,-5.650,130.252,5.7
20424,2011-01-17,-5.030,102.647,6
20425,2011-01-18,2.632,96.404,5.9
20426,2011-01-18,28.777,63.951,7.2
20427,2011-01-22,2.903,95.516,5.6
20428,2011-01-23,-20.335,-176.292,5.9
20429,2011-01-24,-19.204,-173.510,5.7
20430,2011-01-24,38.413,72.791,6
20431,2011-01-26,2.205,96.829,6.1
20432,2011-01-26,-11.013,166.303,5.7
20433,2011-01-27,-15.562,-173.117,5.6
20434,2011-01-27,-11.656,166.356,5.5
20435,2011-01-27,28.195,59.015,6.2
20436,2011-01-27,-38.502,175.996,5.6
20437,2011-01-29,70.931,-6.657,6.2
20438,2011-01-29,-62.964,-164.221,5.5
20439,2011-01-29,21.613,142.956,5.5
20440,2011-01-31,-22.009,-175.622,6
20441,2011-02-01,10.622,94.109,5.6
20442,2011-02-02,54.974,-160.465,5.9
20443,2011-02-03,-15.511,-173.068,5.9
20444,2011-02-04,24.618,94.680,6.2
